weissman,compRatio,time,wordsRatio,words
1.024506321,1.76418528,0.350679477,9.11E-05,10
1.049305131,1.788469993,0.286951144,0.001001821,20
1.063784974,1.79398682,0.233570402,0.001912568,30
1.056933978,1.805536056,0.299836483,0.002823315,40
1.061628297,1.81434868,0.302407875,0.003734062,50
1.084481652,1.826970005,0.228892804,0.004644809,60
1.089632388,1.837830238,0.234192989,0.005555556,70
1.097545215,1.848014778,0.226610178,0.006466302,80
1.101851917,1.861397279,0.241485281,0.007377049,90
1.084833098,1.869795538,0.357121855,0.008287796,100
1.089209375,1.876903739,0.355497218,0.009198543,110
1.11926747,1.88620998,0.23038871,0.01010929,120
1.125116565,1.894631541,0.227054591,0.011020036,130
1.13621303,1.904578776,0.207953322,0.011930783,140
1.140699173,1.911853564,0.207443373,0.01284153,150
1.143825181,1.919382793,0.212243266,0.013752277,160
1.149328268,1.926924992,0.208702593,0.014663024,170
1.152314135,1.930858625,0.206495156,0.01557377,180
1.157928786,1.94130909,0.208630035,0.016484517,190
1.161426532,1.948310576,0.210977612,0.017395264,200
1.13764173,1.952384684,0.328127647,0.018306011,210
1.159230696,1.958657791,0.242268489,0.019216758,220
1.171418868,1.962567595,0.205884564,0.020127505,230
1.175142222,1.969096046,0.206466777,0.021038251,240
1.178703524,1.974537908,0.205417624,0.021948998,250
1.182556448,1.981308829,0.206046941,0.022859745,260
1.186388373,1.987506886,0.205606624,0.023770492,270
1.18628359,1.99092119,0.212840108,0.024681239,280
1.189717469,1.99551519,0.21046386,0.025591985,290
1.194345405,2.000070235,0.204103988,0.026502732,300
1.195449687,2.003749413,0.207705223,0.027413479,310
1.197929923,2.006421757,0.204784211,0.028324226,320
1.199064589,2.008686211,0.20549574,0.029234973,330
1.198375236,2.012874724,0.216236254,0.030145719,340
1.20438813,2.017672825,0.205629444,0.031056466,350
1.20557507,2.019374446,0.205071222,0.031967213,360
1.207483435,2.022360482,0.204663087,0.03287796,370
1.208702533,2.023941578,0.203773676,0.033788707,380
1.21025827,2.027296743,0.205221895,0.034699454,390
1.209477195,2.030109838,0.213369951,0.0356102,400
1.214605795,2.034014612,0.204134707,0.036520947,410
1.215854149,2.036409422,0.204719261,0.037431694,420
1.218520117,2.04038026,0.203772506,0.038342441,430
1.220295579,2.043292639,0.203656942,0.039253188,440
1.222736105,2.047080148,0.203088772,0.040163934,450
1.222515335,2.048958111,0.207400073,0.041074681,460
1.22507775,2.05101361,0.20311364,0.041985428,470
1.226251844,2.053290002,0.203702582,0.042896175,480
1.227190185,2.054930441,0.203833946,0.043806922,490
1.229062445,2.0583414,0.204357352,0.044717668,500
1.230548539,2.061502504,0.205637051,0.045628415,510
1.231782173,2.063679398,0.205847408,0.046539162,520
1.232739116,2.065587955,0.206430791,0.047449909,530
1.234408717,2.067414274,0.204583216,0.048360656,540
1.23600158,2.070103382,0.204623591,0.049271403,550
1.237853341,2.072605528,0.203494858,0.050182149,560
1.235681087,2.075011125,0.215188855,0.051092896,570
1.239300816,2.076783831,0.206813765,0.052003643,580
1.241271922,2.078451204,0.203723063,0.05291439,590
1.242200903,2.079936768,0.203591991,0.053825137,600
1.243332877,2.081250604,0.202506851,0.054735883,610
1.244804774,2.083872367,0.202800591,0.05564663,620
1.24574487,2.08542569,0.202762557,0.056557377,630
1.246297966,2.086915783,0.203814051,0.057468124,640
1.247567777,2.088752669,0.203274553,0.058378871,650
1.249234037,2.091508583,0.203211651,0.059289617,660
1.25026569,2.09269427,0.202208431,0.060200364,670
1.250807238,2.09446432,0.203809955,0.061111111,680
1.252673664,2.096893384,0.202519724,0.062021858,690
1.252748855,2.099333616,0.206840096,0.062932605,700
1.254801498,2.100290277,0.202215745,0.063843352,710
1.255910142,2.101491483,0.201015333,0.064754098,720
1.256145443,2.103060099,0.20317508,0.065664845,730
1.256928577,2.104353334,0.20314202,0.066575592,740
1.257122944,2.105954038,0.205510368,0.067486339,750
1.258245854,2.108075382,0.20595917,0.068397086,760
1.260589864,2.109508729,0.201355884,0.069307832,770
1.261715451,2.11147508,0.201506849,0.070218579,780
1.262386752,2.113226649,0.202655769,0.071129326,790
1.263479652,2.114919419,0.20240533,0.072040073,800
1.265073805,2.115749979,0.199073257,0.07295082,810
1.264136942,2.116923976,0.204066539,0.073861566,820
1.265363405,2.117941744,0.2021663,0.074772313,830
1.265646146,2.118915443,0.20308175,0.07568306,840
1.266401122,2.120228257,0.203171276,0.076593807,850
1.266977849,2.121644311,0.20399837,0.077504554,860
1.261549755,2.123011383,0.224263186,0.078415301,870
1.269150442,2.12446512,0.202502755,0.079326047,880
1.269726105,2.125631811,0.202873148,0.080236794,890
1.270690229,2.126765748,0.201999244,0.081147541,900
1.27110339,2.127827073,0.202671861,0.082058288,910
1.273531646,2.128872406,0.197254938,0.082969035,920
1.271664053,2.130516337,0.20588515,0.083879781,930
1.272119274,2.131626998,0.20652968,0.084790528,940
1.273281572,2.132493548,0.20453582,0.085701275,950
1.274157119,2.133086856,0.202940732,0.086612022,960
1.274076345,2.134103093,0.205047231,0.087522769,970
1.274656079,2.134988808,0.204890414,0.088433515,980
1.275354397,2.135858093,0.204339798,0.089344262,990
1.275905613,2.136642201,0.204085556,0.090255009,1000
1.277021376,2.137501374,0.202250853,0.091165756,1010
1.276471396,2.138412852,0.205594921,0.092076503,1020
1.278379091,2.139371027,0.201523818,0.09298725,1030
1.277350842,2.140353043,0.206455367,0.093897996,1040
1.279604203,2.141755845,0.202126804,0.094808743,1050
1.280693615,2.142187403,0.199632357,0.09571949,1060
1.280525883,2.142907054,0.201422004,0.096630237,1070
1.280959464,2.143921143,0.201941022,0.097540984,1080
1.280390241,2.14422671,0.204221307,0.09845173,1090
1.281174053,2.145351716,0.203879879,0.099362477,1100
1.28203986,2.145882898,0.202217501,0.100273224,1110
1.282311261,2.146599255,0.202690293,0.101183971,1120
1.282907315,2.147460672,0.202444242,0.102094718,1130
1.282958797,2.148670134,0.204479647,0.103005464,1140
1.282378931,2.149591164,0.207956248,0.103916211,1150
1.285179592,2.150687001,0.20140796,0.104826958,1160
1.28555384,2.151226632,0.201252899,0.105737705,1170
1.283773364,2.152190519,0.20844162,0.106648452,1180
1.286211139,2.153178527,0.202781866,0.107559199,1190
1.286654577,2.153678689,0.20234623,0.108469945,1200
1.28744338,2.154598197,0.201627681,0.109380692,1210
1.287719636,2.155029122,0.201571507,0.110291439,1220
